Nutrient,Unit,Category,Gender,Nutrient_standard,age_group,recommended_amount,age_start,age_end,nutrient_code,nutrient_name,unit,category,nutrient_id
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,14-18,1.5,14,18,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,14-18,1.7,14,18,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,14-18,19.4,14,18,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,14-18,431.2,14,18,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,14-18,1.2,14,18,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,14-18,101.9,14,18,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,14-18,8.9,14,18,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,14-18,740.7,14,18,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,14-18,9.2,14,18,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,14-18,266.1,14,18,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,14-18,2465.5,14,18,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,14-18,2399.2,14,18,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,14-18,8.7,14,18,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,14-18,9158.6,14,18,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,14-18,89.0,14,18,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,14-18,80.7,14,18,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,14-18,266.5,14,18,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,14-18,121.7,14,18,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,14-18,20.8,14,18,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,14-18,1.7,14,18,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,14-18,1.9,14,18,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,14-18,22.0,14,18,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,14-18,499.7,14,18,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,14-18,1.3,14,18,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,14-18,102.9,14,18,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,14-18,9.7,14,18,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,14-18,833.4,14,18,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,14-18,10.8,14,18,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,14-18,290.5,14,18,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,14-18,2649.3,14,18,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,14-18,2760.9,14,18,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,14-18,10.8,14,18,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,19-30,11003.7,19,30,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,19-30,117.2,19,30,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,19-30,92.5,19,30,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,19-30,297.2,19,30,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,19-30,131.0,19,30,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,19-30,24.4,19,30,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,19-30,1.9,19,30,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,19-30,2.4,19,30,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,19-30,31.6,19,30,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,19-30,546.4,19,30,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,19-30,2.2,19,30,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,19-30,116.8,19,30,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,19-30,12.4,19,30,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,19-30,954.3,19,30,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,19-30,13.5,19,30,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,19-30,390.6,19,30,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,19-30,3279.9,19,30,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,19-30,3120.2,19,30,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,19-30,13.5,19,30,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,19-30,7863.1,19,30,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,19-30,78.1,19,30,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,19-30,69.9,19,30,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,19-30,213.7,19,30,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,19-30,99.0,19,30,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,19-30,20.3,19,30,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,19-30,1.4,19,30,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,19-30,1.8,19,30,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,19-30,20.5,19,30,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,19-30,424.5,19,30,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,19-30,1.4,19,30,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,19-30,96.4,19,30,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,19-30,10.0,19,30,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,19-30,765.3,19,30,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,19-30,9.7,19,30,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,19-30,291.9,19,30,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,19-30,2509.7,19,30,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,19-30,2303.4,19,30,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,19-30,9.2,19,30,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,19-30,9465.5,19,30,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,19-30,98.0,19,30,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,19-30,81.4,19,30,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,19-30,256.3,19,30,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,19-30,115.3,19,30,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,19-30,22.4,19,30,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,19-30,1.7,19,30,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,19-30,2.1,19,30,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,19-30,26.2,19,30,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,19-30,486.7,19,30,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,19-30,1.8,19,30,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,19-30,106.8,19,30,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,19-30,11.2,19,30,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,19-30,861.7,19,30,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,19-30,11.6,19,30,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,19-30,342.2,19,30,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,19-30,2902.7,19,30,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,19-30,2720.2,19,30,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,19-30,11.4,19,30,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,31-50,10219.9,31,50,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,31-50,107.7,31,50,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,31-50,86.3,31,50,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,31-50,263.9,31,50,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,31-50,119.4,31,50,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,31-50,24.9,31,50,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,31-50,1.7,31,50,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,31-50,2.2,31,50,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,31-50,28.9,31,50,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,31-50,535.5,31,50,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,31-50,1.8,31,50,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,31-50,110.6,31,50,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,31-50,11.7,31,50,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,31-50,910.8,31,50,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,31-50,12.7,31,50,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,31-50,392.6,31,50,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,31-50,3305.8,31,50,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,31-50,2915.4,31,50,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,31-50,12.9,31,50,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,31-50,7539.6,31,50,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,31-50,79.7,31,50,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,31-50,65.3,31,50,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,31-50,196.5,31,50,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,31-50,91.1,31,50,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,31-50,20.7,31,50,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,31-50,1.3,31,50,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,31-50,1.7,31,50,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,31-50,20.6,31,50,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,31-50,424.2,31,50,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,31-50,1.3,31,50,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,31-50,93.7,31,50,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,31-50,9.9,31,50,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,31-50,758.1,31,50,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,31-50,9.6,31,50,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,31-50,308.8,31,50,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,31-50,2659.6,31,50,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,31-50,2153.9,31,50,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,31-50,9.4,31,50,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,31-50,8871.9,31,50,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,31-50,93.6,31,50,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,31-50,75.8,31,50,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,31-50,230.0,31,50,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,31-50,105.2,31,50,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,31-50,22.8,31,50,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,31-50,1.5,31,50,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,31-50,1.9,31,50,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,31-50,24.7,31,50,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,31-50,479.5,31,50,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,31-50,1.5,31,50,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,31-50,102.1,31,50,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,31-50,10.8,31,50,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,31-50,834.0,31,50,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,31-50,11.1,31,50,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,31-50,350.5,31,50,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,31-50,2980.8,31,50,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,31-50,2532.5,31,50,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,31-50,11.1,31,50,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,51-70,9344.7,51,70,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,51-70,97.5,51,70,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,51-70,78.6,51,70,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,51-70,233.8,51,70,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,51-70,101.0,51,70,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,51-70,24.8,51,70,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,51-70,1.7,51,70,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,51-70,1.9,51,70,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,51-70,25.9,51,70,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,51-70,520.7,51,70,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,51-70,1.5,51,70,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,51-70,107.1,51,70,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,51-70,10.4,51,70,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,51-70,780.8,51,70,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,51-70,12.2,51,70,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,51-70,364.4,51,70,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,51-70,3144.2,51,70,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,51-70,2509.8,51,70,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,51-70,12.1,51,70,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,51-70,7268.1,51,70,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,51-70,77.9,51,70,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,51-70,62.0,51,70,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,51-70,183.6,51,70,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,51-70,87.0,51,70,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,51-70,22.2,51,70,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,51-70,1.3,51,70,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,51-70,1.6,51,70,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,51-70,19.7,51,70,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,51-70,438.7,51,70,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,51-70,1.3,51,70,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,51-70,97.3,51,70,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,51-70,10.0,51,70,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,51-70,740.7,51,70,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,51-70,9.9,51,70,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,51-70,313.3,51,70,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,51-70,2699.9,51,70,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,51-70,1972.1,51,70,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,51-70,9.8,51,70,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,51-70,8289.6,51,70,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,51-70,87.5,51,70,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,51-70,70.2,51,70,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,51-70,208.3,51,70,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,51-70,93.9,51,70,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,51-70,23.5,51,70,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,51-70,1.5,51,70,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,51-70,1.8,51,70,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,51-70,22.8,51,70,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,51-70,479.1,51,70,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,51-70,1.4,51,70,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,51-70,102.1,51,70,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,51-70,10.2,51,70,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,51-70,760.5,51,70,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,51-70,11.0,51,70,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,51-70,338.5,51,70,magnesium_mg,Magnesium,(mg),Minerals,16
