,Nutrient,Unit,2-3,4-8,9-13,14-18,19-30,31-50,51-70,71_and_over,2-18,19_and_over,Total_2_years_and_over,Category,Gender,Nutrient_with_unit,Nutrient_standard
76,Magnesium,(mg),201.4,207.1,248.0,266.1,291.9,308.8,313.3,270.7,236.1,301.9,287.6,Minerals,Females,Magnesium ((mg)),magnesium_mg
78,Potassium,(mg),1972.9,1966.4,2432.5,2465.5,2509.7,2659.6,2699.9,2508.6,2256.6,2620.0,2541.5,Minerals,Females,Potassium ((mg)),potassium_mg
80,Sodium(e),(mg),1448.3,1867.5,2262.8,2399.2,2303.4,2153.9,1972.1,1772.5,2094.9,2090.4,2091.4,Minerals,Females,Sodium(e) ((mg)),sodium_mg
81,Zinc,(mg),7.0,7.1,8.7,8.7,9.2,9.4,9.8,9.0,8.0,9.4,9.1,Minerals,Females,Zinc ((mg)),zinc_mg
84,Energy(a),(kJ),5951.2,7053.4,8603.5,9158.6,9465.5,8871.9,8289.6,7295.2,7998.0,8671.7,8522.4,Energy(a),Persons,Energy(a) ((kJ)),energy_with_fibre_kj
86,Protein,(g),56.8,63.5,80.1,89.0,98.0,93.6,87.5,76.5,75.0,91.0,87.5,Macronutrients,Persons,Protein ((g)),protein_g
87,Total Fat(c),(g),49.3,59.3,75.4,80.7,81.4,75.8,70.2,60.7,69.1,73.8,72.8,Macronutrients,Persons,Total Fat(c) ((g)),fat_total_g
95,Carbohydrate(c),(g),180.9,216.8,256.1,266.5,256.3,230.0,208.3,193.6,238.8,225.9,228.8,Macronutrients,Persons,Carbohydrate(c) ((g)),available_carbohydrate_without_sugar_alcohols_g
96,Total sugars,(g),91.6,103.0,120.4,121.7,115.3,105.2,93.9,92.2,112.4,102.9,105.0,Macronutrients,Persons,Total sugars ((g)),total_sugars_g
98,Dietary Fibre,(g),16.1,18.7,21.0,20.8,22.4,22.8,23.5,22.9,19.7,22.9,22.2,Macronutrients,Persons,Dietary Fibre ((g)),total_dietary_fibre_g
103,Thiamin (B1),(mg),1.3,1.6,1.7,1.7,1.7,1.5,1.5,1.5,1.6,1.5,1.6,Vitamins,Persons,Thiamin (B1) ((mg)),thiamin_b1_mg
104,Riboflavin (B2),(mg),1.8,1.8,1.9,1.9,2.1,1.9,1.8,1.6,1.9,1.9,1.9,Vitamins,Persons,Riboflavin (B2) ((mg)),riboflavin_b2_mg
105,Niacin (B3),(mg),13.8,16.9,20.0,22.0,26.2,24.7,22.8,19.7,18.9,23.9,22.8,Vitamins,Persons,Niacin (B3) ((mg)),niacin_b3_mg
109,Total Folates,(µg),380.3,456.5,497.1,499.7,486.7,479.5,479.1,477.5,472.4,480.8,478.9,Vitamins,Persons,Total Folates ((µg)),folate_ug
111,Vitamin B6,(mg),0.9,1.0,1.2,1.3,1.8,1.5,1.4,1.2,1.1,1.5,1.4,Vitamins,Persons,Vitamin B6 ((mg)),pyridoxine_b6_mg
113,Vitamin C,(mg),72.1,83.3,97.3,102.9,106.8,102.1,102.1,93.6,91.8,102.3,100.0,Vitamins,Persons,Vitamin C ((mg)),vitamin_c_mg
114,Vitamin E,(mg),6.0,7.4,9.1,9.7,11.2,10.8,10.2,8.8,8.4,10.5,10.0,Vitamins,Persons,Vitamin E ((mg)),vitamin_e_mg
115,Calcium,(mg),771.8,742.6,853.4,833.4,861.7,834.0,760.5,697.8,806.4,804.6,805.0,Minerals,Persons,Calcium ((mg)),calcium_mg
117,Iron,(mg),7.5,8.8,10.4,10.8,11.6,11.1,11.0,10.3,9.7,11.1,10.8,Minerals,Persons,Iron ((mg)),iron_mg
118,Magnesium,(mg),209.1,226.7,267.6,290.5,342.2,350.5,338.5,291.0,255.2,338.7,320.2,Minerals,Persons,Magnesium ((mg)),magnesium_mg
120,Potassium,(mg),2041.6,2138.1,2562.6,2649.3,2902.7,2980.8,2918.5,2681.0,2403.0,2912.5,2799.6,Minerals,Persons,Potassium ((mg)),potassium_mg
122,Sodium(e),(mg),1483.8,2058.0,2461.7,2760.9,2720.2,2532.5,2236.6,1973.4,2312.7,2430.5,2404.4,Minerals,Persons,Sodium(e) ((mg)),sodium_mg
123,Zinc,(mg),7.2,7.9,9.6,10.8,11.4,11.1,10.9,9.7,9.2,11.0,10.6,Minerals,Persons,Zinc ((mg)),zinc_mg
